Mean_time	Mean_qlow	Mean_qup	Priors
t_n692_Mammalia	174.009	159.93	198.7	ST(1.642,0.425,12.652,1714.565)
t_n693_Muridae	22.056	19.43	24.63	ST(0.174,0.035,3.117,381.97)
t_n694	21.713	19.12	24.21	0
t_n695	18.76	16.44	21.04	0
t_n696	17.613	15.48	19.71	0
t_n697	13.896	12.14	15.68	0
t_n698_Murinae	11.928	10.54	13.33	ST(0.086,0.021,3.794,547.445)
t_n699	11.502	10.15	12.87	0
t_n700	11.2	9.88	12.56	0
t_n701	10.372	9.15	11.65	0
t_n702	9.895	8.72	11.13	0
t_n703	6.463	5.5	7.48	0
t_n704	6.075	5.12	7.07	0
t_n705	5.914	4.95	6.91	0
t_n706	5.724	4.78	6.72	0
t_n707	4.705	3.81	5.66	0
t_n708	4.19	3.3	5.17	0
t_n709	3.249	2.46	4.17	0
t_n710	1.767	1.14	2.52	0
t_n711	1.579	0.97	2.29	0
t_n712	0.718	0.3	1.31	0
t_n713	0.246	0.05	0.58	0
t_n714	1.668	1.04	2.42	0
t_n715	1.401	0.83	2.09	0
t_n716	0.88	0.39	1.59	0
t_n717	3.467	2.5	4.46	0
t_n718	2.801	1.64	3.92	0
t_n719	0.421	0.08	1.02	0
t_n720	3.584	2.4	4.75	0
t_n721	2.697	1.56	3.94	0
t_n722	5.092	3.98	6.23	0
t_n723	3.172	2.33	4.07	0
t_n724	1.585	1.01	2.28	0
t_n725	1.233	0.78	1.77	0
t_n726	0.955	0.62	1.34	0
t_n727	0.368	0.18	0.61	0
t_n728	0.887	0.56	1.28	0
t_n729	0.181	0.04	0.41	0
t_n730	4.733	3.53	5.96	0
t_n731	2.135	1.35	3.2	0
t_n732	1.731	0.95	2.71	0
t_n733	2.761	1.33	4.48	0
t_n734	5.933	4.94	6.98	0
t_n735	5.306	4.27	6.41	0
t_n736	4.695	3.74	5.77	0
t_n737	4.228	3.27	5.36	0
t_n738	3.785	2.81	4.9	0
t_n739	2.93	2.03	3.95	0
t_n740	2.388	1.58	3.39	0
t_n741	2.056	1.27	3.04	0
t_n742	1.636	0.9	2.58	0
t_n743	0.794	0.35	1.43	0
t_n744	0.943	0.35	1.84	0
t_n745	0.329	0.09	0.73	0
t_n746	3.894	2.78	5.09	0
t_n747	1.19	0.56	2.01	0
t_n748	1.045	0.44	1.85	0
t_n749	3.415	2.17	4.64	0
t_n750	5.323	4.05	6.51	0
t_n751	2.619	1.48	3.94	0
t_n752_M.pahari-rest	6.784	5.95	7.74	ST(0.043,0.013,3.575,94.222)
t_n753	6.58	5.74	7.55	0
t_n754	6.179	5.3	7.12	0
t_n755	3.999	3.26	4.81	0
t_n756	3.786	3.01	4.59	0
t_n757	3.577	2.81	4.38	0
t_n758	2.76	2.08	3.54	0
t_n759	2.256	1.6	3.06	0
t_n760	1.153	0.72	1.7	0
t_n761	0.72	0.27	1.29	0
t_n762	1.959	1.4	2.64	0
t_n763	1.445	0.54	2.58	0
t_n764	3.646	2.81	4.51	0
t_n765	1.558	0.94	2.31	0
t_n766	1.086	0.56	1.76	0
t_n767	3.121	2.2	4.04	0
t_n768	2.708	1.86	3.64	0
t_n769	0.263	0.11	0.5	0
t_n770_M.caroli-rest	4.345	3.78	5.01	ST(0.022,0.007,3.426,86.245)
t_n771_M.spretus-M.musculus	2.02	1.69	2.37	ST(0.0104,0.003,3.380,83.529)
t_n772	1.652	1.31	2.02	0
t_n773	0.678	0.53	0.85	0
t_n774	0.583	0.45	0.74	0
t_n775	0.498	0.35	0.66	0
t_n776	0.27	0.15	0.41	0
t_n777	0.182	0.13	0.25	0
t_n778	0.027	0.01	0.05	0
t_n779	0.418	0.21	0.68	0
t_n780	4.052	3.5	4.69	0
t_n781	3.45	2.93	4.03	0
t_n782	2.85	2.21	3.52	0
t_n783	2.387	1.65	3.12	0
t_n784	2.441	2.05	2.88	0
t_n785	1.927	1.59	2.31	0
t_n786	9.818	8.6	11.08	0
t_n787	8.19	7.07	9.39	0
t_n788	6.637	5.67	7.74	0
t_n789	6.522	5.56	7.59	0
t_n790	5.684	4.8	6.68	0
t_n791	4.613	3.86	5.48	0
t_n792	4.167	3.47	4.97	0
t_n793	1.035	0.77	1.35	0
t_n794	0.188	0.13	0.27	0
t_n795	0.028	0	0.09	0
t_n796	2.91	2.37	3.55	0
t_n797	1.687	1.27	2.18	0
t_n798	1.188	0.76	1.7	0
t_n799	5.615	4.33	6.85	0
t_n800	5.387	4.38	6.49	0
t_n801	2.077	1.5	2.79	0
t_n802	1.832	1.31	2.48	0
t_n803	1.359	0.94	1.86	0
t_n804	1.266	0.86	1.75	0
t_n805	0.513	0.22	0.94	0
t_n806	0.236	0.04	0.53	0
t_n807	1.132	0.67	1.66	0
t_n808	2.633	1.49	4.01	0
t_n809	0.867	0.36	1.58	0
t_n810	3.728	2.22	5.46	0
t_n811	9.588	8.26	10.93	0
t_n812	9.022	7.61	10.41	0
t_n813	8.474	7.05	9.88	0
t_n814	7.897	6.52	9.27	0
t_n815	7.209	5.88	8.6	0
t_n816	5.822	4.61	7.05	0
t_n817	5.516	4.25	6.75	0
t_n818	5.226	4.06	6.39	0
t_n819	4.323	3.31	5.43	0
t_n820	3.67	2.78	4.62	0
t_n821	3.36	2.48	4.32	0
t_n822	2.863	1.88	3.9	0
t_n823	2.154	1.2	3.32	0
