Mean_time	Mean_qlow	Mean_qup	Priors
t_n34_Mammalia	204.467	168.5	253.67	ST(1.642,0.425,12.652,1714.565)
t_n35_Xenarthra	63.56	60.68	66.72	ST(0.628,0.019,-0.389,4.88)
t_n36_Cingulata	43.624	40.72	46.76	B(0.3485,0.56)
t_n37_Chlamyphoridae	34.19	31.92	36.82	B(0.339,0.56)
t_n38	30.973	28.59	33.64	0
t_n39	25.396	22.98	28.01	0
t_n40	23.14	20.75	25.71	0
t_n41	11.655	9.59	13.91	0
t_n42	9.131	7.36	11.11	0
t_n43	1.731	1.24	2.35	0
t_n44	16.263	13.91	18.78	0
t_n45	19.401	16.63	22.26	0
t_n46	9.086	7.09	11.33	0
t_n47	7.733	5.99	9.72	0
t_n48	6.516	5	8.27	0
t_n49_Dasypodidae	14.399	11.38	17.72	NA
t_n50	5.637	4.21	7.34	0
t_n51	5.273	3.94	6.87	0
t_n52	4.459	3.28	5.88	0
t_n53	0.969	0.65	1.38	0
t_n54	0.036	0.01	0.07	0
t_n55_Pilosa	55.111	52.05	57.43	B(0.3117,0.56)
t_n56_Folivora	28.707	24.36	33.11	B(0.1599,0.56)
t_n57	19.636	16	23.52	0
t_n58	9.173	6.97	11.72	0
t_n59	0.132	0.01	0.39	0
t_n60	9.363	6.84	12.34	0
t_n61_Vermilingua	37.64	33.27	41.46	B(0.1736,0.56)
t_n62	14.204	11.19	17.54	0
t_n63	1.702	1.16	2.42	0
t_n64_Monotremata	73.521	44.67	114.4	B(0.24459,1.332)
t_n65_Tachyglossidae	15.797	9.14	25.75	B(0.0258,1.332)
