t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run1	2.04315149460027	0.635592071231438	0.435995455122244	0.341648642187891	0.30956982940353	0.253831000299985	0.231316100894955	0.116562127428629	0.0913501788210589	0.017361783180841	0.162531882260887	0.193936985625719	0.090578484340783	0.0771171351832408	0.0649532048847558	0.143963198930053	0.0563835606469677	0.052739407179641	0.0445885850707465	0.00969288112094395	0.000357432523373831	0.551068102669866	0.286403083240838	0.195838099120044	0.0915092720813959	0.00131465141742913	0.0933264720813959	0.376318331438428	0.141936630578471	0.0169755243237838	0.732484355532223	0.157134205979701
run2	2.04034188945053	0.635667693585321	0.436126590095495	0.341897052747363	0.309709580006	0.254014122518874	0.231404486950652	0.116523813694315	0.0912939784510775	0.0173193389030548	0.162636707789611	0.194155502044898	0.0907871495875206	0.0772591431278436	0.0650856159742013	0.143407625753712	0.056062702419879	0.052437316479176	0.0443392361831908	0.00962576996150192	0.000352618234088296	0.55130672460377	0.28749443280836	0.196746354862257	0.0918926268736563	0.00132933994300285	0.0937401110344483	0.376590943572821	0.142078555357232	0.0170261019899005	0.733514519834008	0.157960494905255
run3	2.04910841329434	0.635448924613769	0.436228012269387	0.341802505254737	0.309630136693165	0.253901833033348	0.231374334648268	0.116627966471676	0.0913589276486176	0.0173265368331583	0.16265402519874	0.193894509499525	0.0907190681165942	0.0772112307234638	0.0650521718664067	0.144536148132593	0.0566659843907805	0.0530176899655017	0.0448489833258337	0.00975499615519224	0.000359389645517724	0.551135508429578	0.287628095665217	0.19687561079946	0.0920161586320684	0.00132039417529124	0.0939023159892005	0.376500073176341	0.142243259037048	0.0170200190040498	0.737824218529074	0.158135015644218
run4	2.0509150779611	0.635588653377331	0.436318280335983	0.342139406854657	0.309989409314534	0.254191148112594	0.231644611224439	0.116629356472176	0.0913836992350383	0.0173341153692315	0.162825794760262	0.194134377741113	0.0910016727163642	0.077438304439778	0.0652254714164292	0.144242470696465	0.0565192745112744	0.0528776022348883	0.0446993950152492	0.00971179155542223	0.00035857615119244	0.551380480420979	0.288006369426529	0.197097995890205	0.092303816039198	0.00133710048497575	0.0940464397180141	0.37684174040798	0.142283859372031	0.0170722081145943	0.735644151312434	0.158006215734213
run5	2.05449274913754	0.635569745107745	0.435647094760262	0.341381419739013	0.30921030320484	0.253430430163492	0.230906207129644	0.116072501619919	0.090899301619919	0.0172086267986601	0.162147122428879	0.193579222953852	0.0905814860256987	0.0771158673716314	0.0649800663216839	0.143249524243788	0.0560312778511074	0.0524041172841358	0.0442908334233288	0.00962542766361682	0.000353741762911854	0.551138193075346	0.286941862101895	0.19630568060597	0.0917146645817709	0.00132897290635468	0.0934089443977801	0.376229446387681	0.141940495570221	0.0169793541722914	0.736937069646518	0.157493350422479
run6	2.05356516905655	0.635570003434828	0.435712040912954	0.341766105579721	0.309681209974501	0.253935076451177	0.23139376820659	0.116670475341233	0.0914352580570972	0.0173323359732013	0.162603477251137	0.193810991750412	0.0907121934853257	0.0771705778761062	0.0649932565971701	0.142962828343583	0.05587171539923	0.0522473949052547	0.0441929711314434	0.00960442282385881	0.000351747082645868	0.550967011929404	0.286276244162792	0.195772387315634	0.0914944234788261	0.0013115819259037	0.0933716342582871	0.376018986030698	0.141706166506675	0.0169991274586271	0.737951390245488	0.158357215059247
run7	2.0451659079446	0.635910304489775	0.436642080300985	0.341982688690565	0.30976366539673	0.25406710700965	0.231486244787761	0.116652628458577	0.0913956868256587	0.0173160531673416	0.162705808754562	0.19407671459427	0.0909613488825559	0.0774144288535573	0.065262811239438	0.144576802039898	0.0566966091345433	0.0530510198240088	0.0448675449077546	0.00974278465576721	0.000358279806009699	0.55118885960702	0.28695512140393	0.196181635318234	0.0915619006049698	0.00130261104444778	0.0935322307134643	0.376176209684516	0.14197748379581	0.0170064842707865	0.736578164216789	0.158119677691115
run8	2.04300201911904	0.635490113554322	0.435897313454327	0.341731948477576	0.309508837833108	0.253802077416129	0.231262073961302	0.116433445642718	0.0912383139743013	0.0172923282235888	0.162531535938203	0.193683935578221	0.0907876411279436	0.0772444967451627	0.0650890967151642	0.143222134583271	0.056004603679816	0.0523914650817459	0.0442848192840358	0.0096234386780661	0.000351353672316384	0.55101835700715	0.286967416679166	0.1962006579971	0.0915768134843258	0.00132405158242088	0.0935375555122244	0.376176017544123	0.141768759702015	0.0169447467276636	0.734760890500475	0.158018975171241
run9	2.04427109354032	0.635597915834208	0.436207234318284	0.341898835368232	0.309832607849608	0.254037771921404	0.231475774636268	0.116501695260237	0.0912769544722764	0.0173184440277986	0.162788740847958	0.194219090945453	0.0909025720313984	0.0773780934103295	0.0652058309984501	0.143668739093045	0.0561819915354232	0.0525572851107445	0.0444418579021049	0.00965619409529524	0.00035445616719164	0.551039562061897	0.287058894065297	0.196349306099695	0.0915856418979051	0.00132221913904305	0.0936346349132543	0.376115757657117	0.141818721848908	0.0170208562021899	0.733436874671266	0.157370963181841
run10	2.0394058319284	0.635723717254137	0.436410673141343	0.341949702169892	0.309729229778511	0.253928014564272	0.231310301279936	0.116498650682466	0.0913099231138443	0.0173404865456727	0.162594152702365	0.194112370436478	0.0908016616469177	0.0772636680615969	0.0650676505624719	0.144224422568872	0.0565367324333783	0.0528918358932053	0.0447134692165392	0.00972674590270486	0.000358409709514524	0.551209445062747	0.286918453727314	0.196252792060397	0.0916677449677516	0.00133039598020099	0.0935533773011349	0.376427857212139	0.141936519714014	0.0170021373131343	0.729643928713564	0.156994518824059
