t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run1	2.5399603	0.6673406	0.4672229	0.3682002	0.3362992	0.279588	0.2570554	0.1392618	0.1113424	0.0235815	0.1877828	0.2228915	0.1131787	0.0970748	0.0826355	0.1770089	0.0734095	0.0687244	0.0586229	0.0137687	0.0007126	0.5743843	0.3309149	0.2343545	0.1167271	0.0038448	0.1231935	0.414214	0.1753743	0.0240258	1.1413049	0.2562216
run2	2.5256167	0.6674886	0.4678447	0.3682977	0.3365498	0.2805179	0.2572444	0.1390441	0.111025	0.0234824	0.1876181	0.2226903	0.1129789	0.09668	0.0822998	0.1766083	0.0731092	0.0683488	0.0583918	0.0137633	0.0007015	0.5752306	0.3321954	0.2363654	0.1176321	0.0039043	0.1235655	0.4145901	0.1754465	0.0241814	1.13847	0.259023
run3	2.5498822	0.6671445	0.4678579	0.3684987	0.3366191	0.2804469	0.2571091	0.1389421	0.1112042	0.0236951	0.1876866	0.2225387	0.1129162	0.0970744	0.0827219	0.1775405	0.0738495	0.0688979	0.0590869	0.0139648	0.0007296	0.5746579	0.3313043	0.2364458	0.1178011	0.0038264	0.1232794	0.4145296	0.1756029	0.0242153	1.1488916	0.2562544
run4	2.5543167	0.6674209	0.4670521	0.3687171	0.3366437	0.2803957	0.2571096	0.1393925	0.1110799	0.0235832	0.1878155	0.2225887	0.1137448	0.0974004	0.0828726	0.1772655	0.0733658	0.0686265	0.058618	0.0137489	0.0007177	0.5745279	0.3324951	0.2363362	0.1185517	0.0039109	0.1243106	0.4155187	0.1756735	0.0241901	1.1450619	0.2569819
run5	2.5338161	0.6671946	0.4667727	0.3677104	0.3359307	0.2798744	0.2568893	0.1383113	0.1105774	0.0233705	0.1871435	0.2221982	0.1126004	0.0966296	0.0825552	0.1760115	0.0724786	0.0677629	0.0582723	0.0136561	0.000708	0.5742046	0.3312824	0.235401	0.117079	0.0038779	0.1232289	0.4142894	0.175093	0.0241121	1.1544138	0.2568895
run6	2.5506579	0.6668939	0.4666134	0.367577	0.3358151	0.2795505	0.2569769	0.1391125	0.1112465	0.0235032	0.1878495	0.2226095	0.1127769	0.0967393	0.0824332	0.1756769	0.0724636	0.0677318	0.0581642	0.0137049	0.00071	0.5740982	0.3300222	0.2336803	0.1165022	0.0037881	0.1227426	0.4142559	0.1750576	0.0241357	1.1482757	0.2596544
run7	2.5322888	0.6675972	0.4676781	0.3682059	0.3363735	0.2798004	0.2568377	0.1392048	0.1111435	0.0234347	0.1874715	0.2223961	0.1138689	0.0975589	0.0830558	0.1777888	0.0737567	0.0689405	0.0591187	0.0139324	0.0007104	0.5740945	0.3301061	0.2347058	0.1168456	0.0038324	0.1234336	0.4139371	0.1750345	0.0240661	1.1457172	0.2571643
run8	2.5344389	0.6668832	0.4672141	0.3676832	0.3361503	0.2801104	0.2570791	0.1393305	0.1112026	0.0234909	0.1878983	0.2222807	0.1133436	0.0971914	0.0828764	0.1762864	0.072939	0.0682223	0.0583916	0.0137668	0.0006957	0.5746256	0.3318426	0.2358184	0.117265	0.0038422	0.1236225	0.4141195	0.1750474	0.0241396	1.1409201	0.2574895
run9	2.5382162	0.6672133	0.4673099	0.3686564	0.3363502	0.2802997	0.2572787	0.1391151	0.1109242	0.0235417	0.1881986	0.2228305	0.1135094	0.0975068	0.083035	0.177565	0.0731109	0.068281	0.0584955	0.0136828	0.0007081	0.5744539	0.3306908	0.2343764	0.1166168	0.0039462	0.1231548	0.4140693	0.1749998	0.0241995	1.1375138	0.254798
run10	2.5443914	0.6672107	0.4674137	0.3685595	0.336694	0.2803785	0.2570816	0.1392471	0.1110971	0.0236232	0.1877279	0.2221168	0.1135281	0.0971181	0.0826705	0.1769597	0.0734226	0.0686867	0.0588641	0.0139023	0.0007147	0.5743329	0.3317255	0.2355356	0.1174602	0.003893	0.1236876	0.4147171	0.1751544	0.0241318	1.1355223	0.2570758
run11	2.5525623	0.6676452	0.4678944	0.3677293	0.3367116	0.2801297	0.2574093	0.1390912	0.1111186	0.0236108	0.18764	0.2227447	0.1131319	0.0970495	0.0827171	0.1778141	0.0735227	0.0689622	0.0590342	0.0139301	0.0007149	0.5741724	0.3309358	0.2350034	0.1170695	0.0038503	0.1234757	0.4145058	0.1752138	0.02418	1.1647286	0.2598283
run12	2.5514434	0.6674787	0.4675625	0.3677837	0.3360953	0.279634	0.2565873	0.1390264	0.1109835	0.0234808	0.1873377	0.2222191	0.1130845	0.0970692	0.0826255	0.1765065	0.0732376	0.0684754	0.0585063	0.0137867	0.0007084	0.5738262	0.3302016	0.2350473	0.117154	0.0038486	0.1231548	0.4143277	0.174956	0.0240708	1.1542526	0.2570026
run13	2.5287608	0.6666321	0.4679997	0.3685672	0.3367263	0.2802008	0.2570842	0.1392969	0.1112278	0.0236537	0.1878758	0.2227064	0.1134179	0.0969753	0.0826165	0.1775335	0.0735843	0.0688199	0.0589444	0.0138639	0.0007035	0.5742926	0.3309904	0.2350384	0.1172728	0.0038072	0.1233544	0.4145571	0.1749574	0.0241943	1.1379091	0.2580353
run14	2.5396545	0.667262	0.4674855	0.3680368	0.3365635	0.28025	0.2574309	0.1390531	0.1109335	0.0235703	0.1879423	0.2226106	0.1129509	0.0968926	0.0826021	0.1766887	0.0732854	0.0684166	0.0585714	0.0136493	0.0007189	0.5748521	0.330375	0.2348611	0.1169563	0.0038763	0.1232005	0.4146427	0.17507	0.0242052	1.150583	0.2569529
run15	2.5282789	0.6673402	0.4677643	0.3685778	0.3366189	0.2802273	0.2571397	0.1388652	0.111236	0.0235482	0.1881058	0.2225584	0.1131494	0.0972042	0.0828354	0.1770893	0.0730855	0.0684161	0.0585321	0.0137751	0.0007099	0.574174	0.3307603	0.2346009	0.1165745	0.0039147	0.1228125	0.4142517	0.1753931	0.0240684	1.128197	0.253539
run16	2.5178093	0.6666882	0.4679105	0.3686494	0.3364402	0.2803049	0.2574632	0.1392766	0.1111392	0.0235197	0.1880441	0.2227913	0.1139037	0.0976542	0.0832082	0.1767284	0.0728822	0.068124	0.0584562	0.0137228	0.0007068	0.5744618	0.3312902	0.2352792	0.1175029	0.0038072	0.1235514	0.4149841	0.1751464	0.0241774	1.142754	0.2597247
run17	2.5421551	0.6670246	0.4675572	0.3679866	0.3360094	0.2795115	0.2566528	0.1388482	0.110839	0.0234581	0.1876047	0.2222412	0.1133973	0.0971624	0.0828353	0.1774943	0.0734621	0.068655	0.058856	0.0139579	0.0007126	0.5742377	0.3308596	0.235197	0.1168675	0.0039143	0.1231947	0.4149662	0.1756536	0.0240642	1.1366057	0.2567186
run18	2.5243469	0.6666915	0.4679	0.36805	0.3366605	0.2798479	0.256956	0.1392882	0.1110006	0.0235254	0.1874927	0.222525	0.1131517	0.0972921	0.0829244	0.1773339	0.0733379	0.0684618	0.0587193	0.0138171	0.0007176	0.5743628	0.3312293	0.2353858	0.1177003	0.0038932	0.1239701	0.4143581	0.1746454	0.0240208	1.1405011	0.2583219
run19	2.5138801	0.6668878	0.4680289	0.3686859	0.3367742	0.2804608	0.2577072	0.1388029	0.1111875	0.0235377	0.1883743	0.2236776	0.1139654	0.0975716	0.0831397	0.178644	0.0743397	0.06973	0.0593153	0.0139045	0.0007188	0.5739315	0.3309184	0.2351853	0.1167241	0.0039274	0.1231063	0.4145668	0.1753503	0.0243771	1.1380609	0.2571725
run20	2.5454439	0.6668442	0.4683306	0.3684592	0.3368212	0.28051	0.2575343	0.1394315	0.1116642	0.0236201	0.1879448	0.2229694	0.1131987	0.0972865	0.0824977	0.1759147	0.0724629	0.0678676	0.0582244	0.013603	0.0006988	0.574367	0.3313979	0.2349026	0.1167726	0.0038389	0.1233059	0.4142353	0.1753052	0.0241279	1.1353099	0.2535415
run21	2.5344086	0.6676674	0.4672766	0.3679904	0.3360909	0.2799479	0.2567332	0.1390648	0.1110785	0.0235744	0.187549	0.2224778	0.1135149	0.0973916	0.0828689	0.1772315	0.0733637	0.0685835	0.0587689	0.0138707	0.0007158	0.5743207	0.3318713	0.235444	0.1176253	0.0038919	0.1240529	0.4149439	0.1761054	0.0242925	1.1413785	0.257608
