Calib;node;Prior
Mammalia;432;ST(1.642,0.425,12.652,1714.565)
Artiodactyla;433;ST(0.577,0.007,-0.634,7.509)
Artiofabula;434;ST(0.554,0.008,-0.964,7.343)
Cetruminantia;435;ST(0.507,0.009,-1.513,6.294)
Ruminantia;436;NA
Bovidae;440;ST(0.149,0.025,5.863,624.148)
Aegodontia;441;NA
Caprinae;445;B(0.089,0.16)
O.aries-C.hircus;446;ST(0.059,0.016,3.225,169.672)
Hippotragini-Alcelaphini;510;B(0.0648,0.16)
Hippotraginae;511;NA
Alcelaphini;518;B(0.0505,0.16)
Antilopinae;526;NA
Reduncini;560;B(0.05111,0.16)
Cephalophinae;573;NA
Bovinae;595;NA
Bovini;597;B(0.102,0.16)
Bovina;598;NA
Bubalina;609;NA
Tragelaphini;615;B(0.0549,0.16)
Boselaphini;623;NA
Cervidae;625;B(0.17235,0.284)
Cervinae;626;NA
Cervini;627;NA
Muntiacini;671;NA
Capreolinae;686;NA
Rangiferini;688;NA
Capreolini;715;NA
Hydropotinae;717;NA
Alceini;718;NA
Pecora;720;B(0.195,0.48)
Giraffidae;727;B(0.14,0.48)
Antilocapridae;736;NA
Tragulina;737;NA
Whippomorpha;741;B(0.478,0.507)
Cetacea;742;B(0.3613,0.56)
Odontoceti;743;B(0.2304,0.48)
Delphinida;745;B(0.1599,0.48)
Delphinoidea;746;NA
Delphinidae;747;NA
Phocoenidae-Monodontidae;785;B(0.076,0.48)
Phocoenidae;786;NA
Monodontidae;792;NA
Inioidea;794;NA
Iniidae;795;NA
Zipioidea;798;NA
Platanistoidea;809;NA
Physeteroidea;810;B(0.1382,0.48)
Kogiidae;811;NA
Mysticeti;812;B(0.1599,0.48)
Neobalaeninae;813;B(0.2304,0.339)
Balaenopteridae;814;B(0.073,0.48)
Balaenidae;823;NA
Hippopotamidae;826;B(0.0774,0.48)
Suina;827;B(0.347,0.53)
Suidae;828;NA
Tayassuidae;844;NA
Tylopoda;846;NA
Lamini;847;NA
Camelini;857;NA
Monotremata;860;B(0.24459,1.332)
Tachyglossidae;861;B(0.0258,1.332)

