Calib;node;Prior
Mammalia;308;ST(1.642,0.425,12.652,1714.565)
Didelphimorphia-Australidelphia;310;ST(0.562,0.08,0.035,299.837)
Marsupialia;309;B(0.476,1.313)
Australidelphia;311;NA
Eometatheria;312;ST(0.459,0.068,0.025,623.433)
Polyprotodontia;313;NA
Peramelidae;316;B(0.0436,0.238) 
Dasyuromorphia;344;B(0.1597,0.33)
Dasyuridae;345;NA
Notoryctemorphia;419;NA
Diprotodontia;420;NA
Phalangerida;421;NA
Macropodiformes;422;NA
Macropodidae-Potoridae;424;B(0.247,0.33)
Macropodidae;425;NA
Potoridae;475;NA
Petauroidea;485;NA
Petauridae;487;
Pseudocheiridae;498;NA
Acrobatidae;505;NA
Phalangeridae-Burramyidae;506;B(0.25,0.33)
Phalangeridae;507;NA
Burramyidae;522;NA
Vombatiformes;527;B(0.255,0.33)
Vombatidae;528;NA
Didelphidae;530;B(0.11608,0.281)
Didelphinae;533;NA
Caluromyinae;605;NA
Paucituberculata;608;B(0,0.1597)
