Calib;node;Prior
Mammalia;660;ST(1.642,0.425,12.652,1714.565)
Laurasiatheria;661;ST(0.694,0.006,0.431,4.953)
Scrotifera;662;ST(0.678,0.006,0.37,4.464)
Fereungulata;664;ST(0.671,0.005,0.355,4.329)
Carnivora;665;ST(0.538,0.027,-2.115,70.375)
Caniformia;666;ST(0.467,0.031,-1.966,117.012)
Arctoidea;667;ST(0.397,0.031,-1.415,427.391)
Mustelidae-Procyonidae;669;B(0.276,0.309)
Pinnipedia;747;B(0.2045,0.2729)
Phocidae;748;B(0.1382,0.33)
Lobodontini;763;B(0.0505,0.33)
Otarioidea;768;B(0.1597,0.33)
Feliformia;849;B(0.19535,0.48)
Herpestidae-Eupleridae;853;B(0.1597,0.339)
Viverrinae-Genettinae;889;B(0.2044,0.48)
Prionodontidae-Felidae;916;B(0.281,0.6609)
Felidae;917;ST(0.14,0.02,0.417,367.218)
Pantherinae;955;ST(0.067,0.015,1.12,331.497)
Euungulata;969;ST(0.660,0.005,0.341,4.207)
Perissodactyla;970;B(0.555,0.6609)
Ceratomorpha;986;B(0.48078,0.6609)
Artiodactyla;1000;ST(0.577,0.007,-0.634,7.509)
Erinaceidae-Soricidae;1006;ST(0.596,0.017,-1.243,19.856)
Chiroptera;1005;ST(0.596,0.016,-1.239,13.572)
Pholidota;1001;NA
Monotremata;1316;B(0.24459,1.332)
Tachyglossidae;1317;B(0.0258,1.332)

