Parsing alignment lagomorpha_mt3cp ... ... 
Length alignment: 3599
Number of taxa: 88
Taxon: brachylagus_idahoensis | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: bunolagus_monticularis | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: caprolagus_hispidus | Num gaps: 3257 | Missing taxon?: N | % Missing data: 90.4973603778827
Taxon: lepus_alleni | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_americanus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_arcticus | Num gaps: 267 | Missing taxon?: N | % Missing data: 7.41872742428452
Taxon: lepus_brachyurus | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_californicus | Num gaps: 267 | Missing taxon?: N | % Missing data: 7.41872742428452
Taxon: lepus_californicus_melanotis | Num gaps: 3599 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_californicus_xanti | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_callotis | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_capensis | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_capensis_mediterraneus~ | Num gaps: 3247 | Missing taxon?: N | % Missing data: 90.2195054181717
Taxon: lepus_castroviejoi | Num gaps: 3599 | Missing taxon?: Y | % Missing data: 100
Taxon: lepus_comus | Num gaps: 2278 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_coreanus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_corsicanus | Num gaps: 269 | Missing taxon?: N | % Missing data: 7.47429841622673
Taxon: lepus_europaeus | Num gaps: 3 | Missing taxon?: N | % Missing data: 0.0833564879133093
Taxon: lepus_flavigularis | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_granatensis | Num gaps: 3 | Missing taxon?: N | % Missing data: 0.0833564879133093
Taxon: lepus_hainanus | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0555709919422062
Taxon: lepus_insularis~ | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_mandshuricus | Num gaps: 2278 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_oiostolus | Num gaps: 2278 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_oiostolus_qinghaiensis~ | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_othus | Num gaps: 266 | Missing taxon?: N | % Missing data: 7.39094192831342
Taxon: lepus_peguensis | Num gaps: 2278 | Missing taxon?: N | % Missing data: 63.2953598221728
Taxon: lepus_saxatilis | Num gaps: 3220 | Missing taxon?: N | % Missing data: 89.4692970269519
Taxon: lepus_sinensis | Num gaps: 2 | Missing taxon?: N | % Missing data: 0.0555709919422062
