Parsing alignment ctenohystrica_mt3cp ... ... 
Length alignment: 3612
Number of taxa: 210
Taxon: abrocoma_bennettii | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: abrocoma_cinerea | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: aconaemys_fuscus | Num gaps: 3011 | Missing taxon?: N | % Missing data: 83.3610188261351
Taxon: aconaemys_porteri | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: aconaemys_sagei | Num gaps: 3264 | Missing taxon?: N | % Missing data: 90.3654485049834
Taxon: atherurus_africanus~ | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: atherurus_macrourus~ | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: bathyergus_janetta | Num gaps: 3242 | Missing taxon?: N | % Missing data: 89.7563676633444
Taxon: bathyergus_suillus | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: callistomys_pictus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: capromys_pilorides | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: carterodon_sulcidens~ | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: cavia_aperea~ | Num gaps: 402 | Missing taxon?: N | % Missing data: 11.1295681063123
Taxon: cavia_aperea_anolaimae | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_aperea_guianae | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_aperea_hypoleuca | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_aperea_pamparum | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_cutleri | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: cavia_fulgida | Num gaps: 3234 | Missing taxon?: N | % Missing data: 89.5348837209302
Taxon: cavia_magna | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_porcellus | Num gaps: 14 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: cavia_tschudii~ | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cavia_tschudii_osgoodi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: chaetomys_subspinosus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: chinchilla_lanigera | Num gaps: 13 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: clyomys_laticeps | Num gaps: 3238 | Missing taxon?: N | % Missing data: 89.6456256921373
Taxon: coendou_bicolor | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_ichillus | Num gaps: 3272 | Missing taxon?: N | % Missing data: 90.5869324473976
Taxon: coendou_insidiosus | Num gaps: 14 | Missing taxon?: N | % Missing data: 0.387596899224806
Taxon: coendou_melanurus | Num gaps: 3238 | Missing taxon?: N | % Missing data: 89.6456256921373
Taxon: coendou_mexicanus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_prehensilis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_quichua | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: coendou_rufescens | Num gaps: 3309 | Missing taxon?: N | % Missing data: 91.6112956810631
Taxon: coendou_spinosus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: coendou_villosus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cryptomys_hottentotus_anomalus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_holosericeus | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: cryptomys_hottentotus_hottentotus | Num gaps: 3241 | Missing taxon?: N | % Missing data: 89.7286821705426
Taxon: cryptomys_hottentotus_mahali | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cryptomys_hottentotus_natalensis | Num gaps: 3236 | Missing taxon?: N | % Missing data: 89.5902547065338
Taxon: cryptomys_hottentotus_nimrodi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: cryptomys_hottentotus_pretoriae | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenodactylus_gundi | Num gaps: 3612 | Missing taxon?: Y | % Missing data: 100
Taxon: ctenodactylus_vali | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_argentinus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_australis | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_boliviensis | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_colburni | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: ctenomys_conoveri | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_coyhaiquensis | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_dorbignyi | Num gaps: 3243 | Missing taxon?: N | % Missing data: 89.7840531561462
Taxon: ctenomys_erikacuellarae | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_flamarioni | Num gaps: 3007 | Missing taxon?: N | % Missing data: 83.250276854928
Taxon: ctenomys_fodax | Num gaps: 3239 | Missing taxon?: N | % Missing data: 89.6733111849391
Taxon: ctenomys_frater | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_fulvus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_goodfellowi | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_haigi | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_lami | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_latro | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_leucodon | Num gaps: 13 | Missing taxon?: N | % Missing data: 0.359911406423034
Taxon: ctenomys_lewisi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_magellanicus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_maulinus | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
Taxon: ctenomys_mendocinus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_minutus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_nattereri | Num gaps: 3235 | Missing taxon?: N | % Missing data: 89.562569213732
Taxon: ctenomys_occultus | Num gaps: 3010 | Missing taxon?: N | % Missing data: 83.3333333333333
Taxon: ctenomys_opimus | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_pearsoni | Num gaps: 3006 | Missing taxon?: N | % Missing data: 83.2225913621263
Taxon: ctenomys_perrensi | Num gaps: 3233 | Missing taxon?: N | % Missing data: 89.5071982281285
