Gene,Num_seqs,Mouse_presence,Human_presence,Num_codons_hum,Length_seq
ENSG00000000003,65,1,1,245,969
ENSG00000000005,71,1,1,317,996
ENSG00000000457,70,1,1,742,3375
ENSG00000000460,70,1,1,853,4098
ENSG00000000938,65,1,1,529,1977
ENSG00000000971,37,1,1,1231,5151
ENSG00000001036,69,1,1,467,2331
ENSG00000001084,70,1,1,637,3243
ENSG00000001167,68,1,1,347,1110
ENSG00000001460,72,1,1,334,1590
ENSG00000001461,70,1,1,406,1857
ENSG00000001497,66,1,1,734,4587
ENSG00000001561,71,1,1,453,1983
ENSG00000001617,67,1,1,785,2700
ENSG00000001626,69,1,1,1480,6627
ENSG00000001629,70,1,1,1089,4365
ENSG00000001630,65,1,1,509,2142
ENSG00000001631,71,1,1,736,2541
ENSG00000002016,68,1,1,418,2655
ENSG00000002330,66,1,1,168,1131
ENSG00000002549,68,1,1,519,2007
ENSG00000002587,60,1,1,307,1125
ENSG00000002745,71,1,1,365,1767
ENSG00000002746,71,1,1,1606,6840
ENSG00000002822,65,1,1,718,4977
ENSG00000002834,70,1,1,261,1431
ENSG00000002919,68,1,1,270,1479
ENSG00000002933,59,1,1,235,1794
ENSG00000003056,68,1,1,277,1710
ENSG00000003096,64,1,1,658,3129
ENSG00000003137,69,1,1,512,1725
ENSG00000003147,69,1,1,483,2844
ENSG00000003249,64,1,1,278,1863
ENSG00000003393,68,1,1,1657,7224
ENSG00000003402,70,1,1,480,2166
ENSG00000003436,66,1,1,304,2253
ENSG00000003509,69,1,1,441,1956
ENSG00000003756,69,1,1,815,3267
ENSG00000003987,71,1,1,660,2850
ENSG00000003989,70,1,1,698,3627
ENSG00000004059,67,1,1,180,2028
ENSG00000004139,69,1,1,724,3510
ENSG00000004142,64,1,1,368,2004
ENSG00000004399,61,1,1,1925,9426
ENSG00000004455,52,1,1,239,906
ENSG00000004468,68,1,1,300,1692
ENSG00000004478,69,1,1,459,2772
ENSG00000004487,71,1,1,876,3894
ENSG00000004534,70,1,1,1123,4323
ENSG00000004660,66,1,1,520,4143
ENSG00000004700,68,1,1,649,3024
ENSG00000004766,68,1,1,964,3807
ENSG00000004776,65,1,1,160,852
ENSG00000004777,67,1,1,1126,7008
ENSG00000004779,51,1,1,156,1068
ENSG00000004799,71,1,1,411,1704
ENSG00000004809,58,1,1,577,2967
ENSG00000004838,67,1,1,440,1773
ENSG00000004846,67,1,1,1257,4737
ENSG00000004848,60,1,1,562,6474
ENSG00000004864,70,1,1,676,3129
ENSG00000004866,72,1,1,585,3642
ENSG00000004897,70,1,1,830,3834
ENSG00000004939,67,1,1,911,5091
ENSG00000004948,67,1,1,508,3537
ENSG00000004961,65,1,1,268,1053
ENSG00000004975,65,1,1,736,3276
ENSG00000005001,62,1,1,317,4047
ENSG00000005007,64,1,1,1129,4929
ENSG00000005020,69,1,1,359,1932
ENSG00000005022,46,1,1,298,2382
ENSG00000005059,64,1,1,336,1725
ENSG00000005073,60,1,1,313,1473
ENSG00000005075,39,1,1,117,1410
ENSG00000005100,69,1,1,707,4284
ENSG00000005102,67,1,1,254,1233
ENSG00000005108,71,1,1,1657,7395
ENSG00000005156,70,1,1,1009,4644
ENSG00000005175,69,1,1,665,3096
ENSG00000005187,70,1,1,586,2490
ENSG00000005189,62,1,1,774,4284
ENSG00000005194,58,1,1,312,3030
ENSG00000005206,65,1,1,592,3888
ENSG00000005238,66,1,1,538,2040
ENSG00000005243,66,1,1,210,1644
ENSG00000005249,72,1,1,418,2601
ENSG00000005339,72,1,1,2442,11832
ENSG00000005379,69,1,1,1857,10416
ENSG00000005381,65,1,1,745,4107
ENSG00000005421,70,1,1,355,1185
ENSG00000005436,71,1,1,781,4107
ENSG00000005448,67,1,1,334,1350
ENSG00000005469,71,1,1,640,2592
ENSG00000005471,65,1,1,1286,5004
ENSG00000005483,72,1,1,1858,8385
ENSG00000005486,66,1,1,364,2277
ENSG00000005513,63,1,1,446,2022
ENSG00000005700,71,1,1,1353,5274
ENSG00000005810,68,1,1,4640,17370
ENSG00000005812,72,1,1,428,1530
ENSG00000005844,71,1,1,1170,7125
ENSG00000005882,67,1,1,407,3528
ENSG00000005884,69,1,1,1051,5748
ENSG00000005893,70,1,1,411,2736
ENSG00000005961,66,1,1,1039,5520
ENSG00000005981,69,1,1,426,1917
ENSG00000006007,69,1,1,331,1227
ENSG00000006015,58,1,1,201,1620
ENSG00000006016,66,1,1,422,3186
ENSG00000006025,69,1,1,842,5238
ENSG00000006042,69,1,1,226,825
ENSG00000006047,61,1,1,364,2109
ENSG00000006062,72,1,1,947,8952
ENSG00000006071,71,1,1,1582,6462
ENSG00000006116,68,1,1,315,1317
ENSG00000006118,67,1,1,1024,6096
ENSG00000006125,62,1,1,951,3558
ENSG00000006128,71,1,1,129,1167
ENSG00000006194,68,1,1,683,3129
ENSG00000006210,65,1,1,397,2445
ENSG00000006282,68,1,1,802,4131
ENSG00000006283,67,1,1,2377,9780
ENSG00000006327,53,1,1,129,1701
ENSG00000006377,67,1,1,293,2166
ENSG00000006432,68,1,1,1118,4851
ENSG00000006451,67,1,1,206,699
ENSG00000006453,70,1,1,511,2220
ENSG00000006459,69,1,1,941,3564
ENSG00000006468,69,1,1,477,2253
ENSG00000006530,67,1,1,422,1983
ENSG00000006534,60,1,1,468,3594
ENSG00000006555,62,1,1,569,2253
ENSG00000006576,72,1,1,751,3816
ENSG00000006606,43,1,1,94,471
ENSG00000006607,67,1,1,1054,6126
ENSG00000006611,70,1,1,899,4518
ENSG00000006634,58,1,1,674,2535
ENSG00000006638,60,1,1,407,2628
ENSG00000006652,68,1,1,451,1839
ENSG00000006695,66,1,1,443,1932
ENSG00000006704,63,1,1,976,12291
ENSG00000006712,70,1,1,531,2373
ENSG00000006715,69,1,1,854,3888
ENSG00000006740,68,1,1,818,4404
ENSG00000006744,66,1,1,826,3693
ENSG00000006747,70,1,1,715,3390
ENSG00000006831,68,1,1,386,1884
ENSG00000006837,69,1,1,592,3336
ENSG00000007001,59,1,1,374,1974
ENSG00000007038,46,1,1,314,2139
ENSG00000007047,65,1,1,752,5706
ENSG00000007062,70,1,1,865,4392
ENSG00000007080,61,1,1,223,1407
ENSG00000007168,68,1,1,410,1776
ENSG00000007171,66,1,1,1153,5802
ENSG00000007174,40,1,1,4486,25539
ENSG00000007202,72,1,1,2235,9759
ENSG00000007216,70,1,1,641,2871
ENSG00000007237,67,1,1,476,2769
ENSG00000007255,66,1,1,173,1416
ENSG00000007264,63,1,1,508,5178
ENSG00000007312,67,1,1,230,1668
ENSG00000007314,68,1,1,1836,12069
ENSG00000007341,70,1,1,575,3417
ENSG00000007350,57,1,1,596,3753
ENSG00000007372,70,1,1,436,4011
ENSG00000007376,66,1,1,312,1116
ENSG00000007384,64,1,1,855,3696
ENSG00000007392,68,1,1,371,1755
ENSG00000007402,67,1,1,1150,6543
ENSG00000007516,64,1,1,1187,7302
ENSG00000007520,66,1,1,312,1695
ENSG00000007541,69,1,1,760,10176
ENSG00000007545,63,1,1,1269,7875
ENSG00000007866,67,1,1,435,4101
ENSG00000007908,68,1,1,610,3534
ENSG00000007923,67,1,1,559,2976
ENSG00000007933,64,1,1,532,2412
ENSG00000007944,70,1,1,445,1674
ENSG00000007952,63,1,1,564,2079
ENSG00000007968,69,1,1,437,2730
ENSG00000008018,68,1,1,241,1131
ENSG00000008056,66,1,1,705,4071
ENSG00000008083,66,1,1,1246,5928
ENSG00000008086,70,1,1,1030,5934
ENSG00000008118,70,1,1,476,1953
ENSG00000008130,64,1,1,591,5922
ENSG00000008196,70,1,1,460,2223
ENSG00000008197,71,1,1,452,1362
ENSG00000008226,64,1,1,1755,10680
ENSG00000008256,65,1,1,399,3027
ENSG00000008277,70,1,1,906,4137
ENSG00000008282,62,1,1,259,1512
ENSG00000008283,63,1,1,258,1395
ENSG00000008294,71,1,1,1321,6372
ENSG00000008300,64,1,1,3312,16668
ENSG00000008311,71,1,1,926,3690
ENSG00000008323,68,1,1,790,3540
ENSG00000008324,62,1,1,77,570
ENSG00000008382,62,1,1,501,3450
ENSG00000008394,65,1,1,155,882
ENSG00000008405,67,1,1,586,3327
ENSG00000008438,63,1,1,196,885
ENSG00000008441,69,1,1,441,5055
ENSG00000008513,70,1,1,340,1308
ENSG00000008516,58,1,1,562,4119
ENSG00000008710,64,1,1,4303,20619
ENSG00000008735,66,1,1,824,5817
ENSG00000008838,62,1,1,1008,4590
ENSG00000008853,67,1,1,749,3471
ENSG00000008869,71,1,1,2071,8721
ENSG00000008952,67,1,1,399,2583
ENSG00000008988,49,1,1,142,843
ENSG00000009307,61,1,1,844,3390
ENSG00000009335,70,1,1,1083,4884
ENSG00000009413,71,1,1,3130,11070
ENSG00000009694,68,1,1,2732,9522
ENSG00000009709,70,1,1,520,3429
ENSG00000009724,66,1,1,686,4269
ENSG00000009765,71,1,1,293,1953
ENSG00000009780,71,1,1,341,2208
ENSG00000009790,69,1,1,551,2931
ENSG00000009830,72,1,1,750,3654
ENSG00000009844,66,1,1,307,1017
ENSG00000009950,64,1,1,852,6231
ENSG00000009954,68,1,1,1483,6216
ENSG00000010017,71,1,1,729,4428
ENSG00000010072,69,1,1,489,2007
ENSG00000010165,64,1,1,699,2436
ENSG00000010219,66,1,1,520,2811
ENSG00000010244,66,1,1,494,2031
ENSG00000010256,70,1,1,480,2505
ENSG00000010270,63,1,1,234,1083
ENSG00000010278,67,1,1,228,2265
ENSG00000010282,65,1,1,504,2931
ENSG00000010292,68,1,1,1401,5232
ENSG00000010295,64,1,1,571,2610
ENSG00000010310,65,1,1,466,2586
ENSG00000010318,70,1,1,381,1557
ENSG00000010319,67,1,1,782,3354
ENSG00000010322,68,1,1,1504,8481
ENSG00000010327,68,1,1,2570,12153
ENSG00000010361,69,1,1,418,2556
ENSG00000010379,64,1,1,602,2472
ENSG00000010610,65,1,1,458,3654
ENSG00000010626,70,1,1,343,1338
ENSG00000010671,69,1,1,693,2913
ENSG00000010704,67,1,1,348,2553
ENSG00000010803,72,1,1,660,4650
ENSG00000010810,71,1,1,537,2196
ENSG00000010818,71,1,1,2446,8232
ENSG00000010932,66,1,1,532,2517
ENSG00000011007,42,1,1,798,3543
ENSG00000011009,59,1,1,231,2082
ENSG00000011021,71,1,1,869,5586
ENSG00000011028,69,1,1,1479,7836
ENSG00000011083,67,1,1,636,3540
ENSG00000011105,65,1,1,239,2160
ENSG00000011114,70,1,1,1132,4101
ENSG00000011132,63,1,1,575,3537
ENSG00000011143,70,1,1,559,2844
ENSG00000011198,70,1,1,349,2157
ENSG00000011243,66,1,1,646,3543
ENSG00000011258,71,1,1,628,3465
ENSG00000011260,67,1,1,556,2493
ENSG00000011275,69,1,1,923,4227
ENSG00000011295,68,1,1,380,3054
ENSG00000011304,53,1,1,557,3714
ENSG00000011332,63,1,1,414,3204
ENSG00000011347,67,1,1,478,4473
ENSG00000011376,70,1,1,903,3549
ENSG00000011405,71,1,1,1686,6222
ENSG00000011422,65,1,1,335,1947
ENSG00000011426,65,1,1,1124,4635
ENSG00000011451,65,1,1,835,8115
ENSG00000011454,70,1,1,1069,4020
ENSG00000011465,72,1,1,359,1320
ENSG00000011478,67,1,1,382,1590
ENSG00000011485,67,1,1,499,3213
ENSG00000011523,70,1,1,757,3267
ENSG00000011566,72,1,1,894,5226
ENSG00000011590,63,1,1,487,1932
ENSG00000011600,67,1,1,113,858
ENSG00000011638,70,1,1,185,1029
ENSG00000011677,68,1,1,492,2592
ENSG00000012048,66,1,1,1884,8256
ENSG00000012061,69,1,1,323,3357
ENSG00000012124,67,1,1,847,4353
ENSG00000012171,66,1,1,754,4002
ENSG00000012174,71,1,1,519,2364
ENSG00000012211,67,1,1,615,3279
ENSG00000012223,64,1,1,710,3747
ENSG00000012232,69,1,1,919,3195
ENSG00000012504,72,1,1,486,2079
ENSG00000012660,68,1,1,326,3249
ENSG00000012779,68,1,1,674,3615
ENSG00000012817,10,1,1,1539,4866
ENSG00000012822,69,1,1,691,3000
